initial_samples sample height tube remaining_vol
28 17 2.36 1 326.0
28 18 1.98 1 306.0
28 19 1.61 1 286.0
28 20 1.23 1 266.0
28 21 0.86 1 246.0
28 22 0.5 1 226.0
28 23 0.5 1 206.0
28 24 0.5 1 186.0
28 25 0.5 1 166.0
28 26 0.5 1 146.0
28 27 0.5 1 126.0
28 28 0.5 1 106.0
29 1 8.75 1 668.0
29 2 8.38 1 648.0
29 3 8.01 1 628.0
29 4 7.63 1 608.0
29 5 7.26 1 588.0
29 6 6.88 1 568.0
29 7 6.51 1 548.0
29 8 6.14 1 528.0
29 9 5.76 1 508.0
29 10 5.39 1 488.0
29 11 5.01 1 468.0
29 12 4.64 1 448.0
29 13 4.27 1 428.0
29 14 3.89 1 408.0
29 15 3.52 1 388.0
29 16 3.14 1 368.0
29 17 2.77 1 348.0
29 18 2.39 1 328.0
29 19 2.02 1 308.0
29 20 1.65 1 288.0
29 21 1.27 1 268.0
29 22 0.9 1 248.0
29 23 0.52 1 228.0
29 24 0.5 1 208.0
29 25 0.5 1 188.0
29 26 0.5 1 168.0
29 27 0.5 1 148.0
29 28 0.5 1 128.0
29 29 0.5 1 108.0
30 1 9.17 1 690.0
30 2 8.79 1 670.0
30 3 8.42 1 650.0
30 4 8.04 1 630.0
30 5 7.67 1 610.0
30 6 7.3 1 590.0
30 7 6.92 1 570.0
30 8 6.55 1 550.0
30 9 6.17 1 530.0
30 10 5.8 1 510.0
30 11 5.43 1 490.0
30 12 5.05 1 470.0
30 13 4.68 1 450.0
30 14 4.3 1 430.0
30 15 3.93 1 410.0
30 16 3.55 1 390.0
30 17 3.18 1 370.0
30 18 2.81 1 350.0
30 19 2.43 1 330.0
30 20 2.06 1 310.0
30 21 1.68 1 290.0
30 22 1.31 1 270.0
30 23 0.94 1 250.0
30 24 0.56 1 230.0
30 25 0.5 1 210.0
30 26 0.5 1 190.0
30 27 0.5 1 170.0
30 28 0.5 1 150.0
30 29 0.5 1 130.0
30 30 0.5 1 110.0
31 1 9.58 1 712.0
31 2 9.2 1 692.0
31 3 8.83 1 672.0
31 4 8.46 1 652.0
31 5 8.08 1 632.0
31 6 7.71 1 612.0
31 7 7.33 1 592.0
31 8 6.96 1 572.0
31 9 6.58 1 552.0
31 10 6.21 1 532.0
31 11 5.84 1 512.0
31 12 5.46 1 492.0
31 13 5.09 1 472.0
31 14 4.71 1 452.0
31 15 4.34 1 432.0
31 16 3.97 1 412.0
31 17 3.59 1 392.0
31 18 3.22 1 372.0
31 19 2.84 1 352.0
31 20 2.47 1 332.0
31 21 2.1 1 312.0
31 22 1.72 1 292.0
31 23 1.35 1 272.0
31 24 0.97 1 252.0
31 25 0.6 1 232.0
31 26 0.5 1 212.0
31 27 0.5 1 192.0
31 28 0.5 1 172.0
31 29 0.5 1 152.0
31 30 0.5 1 132.0
31 31 0.5 1 112.0
32 1 9.99 1 734.0
32 2 9.62 1 714.0
32 3 9.24 1 694.0
32 4 8.87 1 674.0
32 5 8.49 1 654.0
32 6 8.12 1 634.0
32 7 7.74 1 614.0
32 8 7.37 1 594.0
32 9 7.0 1 574.0
32 10 6.62 1 554.0
32 11 6.25 1 534.0
32 12 5.87 1 514.0
32 13 5.5 1 494.0
32 14 5.13 1 474.0
32 15 4.75 1 454.0
32 16 4.38 1 434.0
32 17 4.0 1 414.0
32 18 3.63 1 394.0
32 19 3.26 1 374.0
32 20 2.88 1 354.0
32 21 2.51 1 334.0
32 22 2.13 1 314.0
32 23 1.76 1 294.0
32 24 1.38 1 274.0
32 25 1.01 1 254.0
32 26 0.64 1 234.0
32 27 0.5 1 214.0
32 28 0.5 1 194.0
32 29 0.5 1 174.0
32 30 0.5 1 154.0
